MapName,WinCntOfRed,WinCntOfBlue,DrawCnt,FirstMove
./autobattle/genmap327.tbsmap,0,0,1,5:5:5:3:4:3
./autobattle/genmap328.tbsmap,1,0,0,3:6:2:5:1:5
./autobattle/genmap329.tbsmap,1,0,0,5:5:6:6:5:6
./autobattle/genmap33.tbsmap,0,1,0,6:6:5:4:4:4
./autobattle/genmap330.tbsmap,1,0,0,3:1:3:5:4:5
./autobattle/genmap331.tbsmap,0,1,0,3:2:6:5:5:5
./autobattle/genmap332.tbsmap,1,0,0,3:3:4:3:5:3
./autobattle/genmap333.tbsmap,1,0,0,5:5:1:4:1:3
./autobattle/genmap334.tbsmap,0,1,0,2:1:2:1:3:1
./autobattle/genmap335.tbsmap,0,1,0,6:5:6:5:5:5
./autobattle/genmap336.tbsmap,1,0,0,2:5:4:4:4:3
./autobattle/genmap337.tbsmap,1,0,0,4:5:5:3:6:3
./autobattle/genmap338.tbsmap,1,0,0,6:1:4:3:4:4
./autobattle/genmap339.tbsmap,0,0,1,1:3:3:5:2:5
./autobattle/genmap34.tbsmap,0,1,0,6:4:5:5:4:5
./autobattle/genmap340.tbsmap,1,0,0,4:5:2:4:2:3
./autobattle/genmap341.tbsmap,0,0,1,2:1:3:2:2:2
./autobattle/genmap342.tbsmap,1,0,0,4:5:3:3:3:4
./autobattle/genmap343.tbsmap,0,1,0,4:2:4:2:5:2
./autobattle/genmap344.tbsmap,0,0,1,3:4:4:3:3:3
./autobattle/genmap345.tbsmap,1,0,0,1:4:4:3:3:3
./autobattle/genmap346.tbsmap,0,1,0,5:2:6:1:5:1
./autobattle/genmap347.tbsmap,0,0,1,4:2:6:3:5:3
./autobattle/genmap348.tbsmap,0,1,0,2:3:2:3:1:3
./autobattle/genmap349.tbsmap,1,0,0,4:6:6:4:6:5
./autobattle/genmap35.tbsmap,0,1,0,5:4:4:6:3:6
./autobattle/genmap350.tbsmap,0,1,0,3:5:2:2:2:1
./autobattle/genmap351.tbsmap,1,0,0,2:1:5:4:4:4
./autobattle/genmap352.tbsmap,1,0,0,5:5:3:4:3:5
./autobattle/genmap353.tbsmap,0,0,1,4:5:4:2:3:2
./autobattle/genmap354.tbsmap,1,0,0,4:6:6:5:6:4
./autobattle/genmap355.tbsmap,1,0,0,6:3:6:1:6:2
./autobattle/genmap356.tbsmap,1,0,0,2:4:6:3:6:4
./autobattle/genmap357.tbsmap,1,0,0,3:3:2:4:1:4
./autobattle/genmap358.tbsmap,1,0,0,6:4:5:3:4:3
./autobattle/genmap359.tbsmap,0,1,0,4:4:5:1:4:1
./autobattle/genmap36.tbsmap,1,0,0,3:1:6:3:6:2
./autobattle/genmap360.tbsmap,1,0,0,1:4:1:4:1:3
./autobattle/genmap361.tbsmap,0,1,0,4:3:6:4:6:5
./autobattle/genmap362.tbsmap,1,0,0,5:3:3:3:2:3
./autobattle/genmap363.tbsmap,0,1,0,1:1:3:3:3:4
./autobattle/genmap364.tbsmap,1,0,0,3:4:4:4:4:5
./autobattle/genmap365.tbsmap,1,0,0,4:2:2:2:1:2
./autobattle/genmap366.tbsmap,1,0,0,5:6:5:3:5:2
./autobattle/genmap367.tbsmap,1,0,0,5:2:4:4:3:4
./autobattle/genmap368.tbsmap,1,0,0,1:6:1:4:1:3
./autobattle/genmap369.tbsmap,1,0,0,6:2:5:2:4:2
./autobattle/genmap37.tbsmap,0,1,0,5:4:4:5:4:6
./autobattle/genmap370.tbsmap,1,0,0,5:3:6:5:6:6
./autobattle/genmap371.tbsmap,1,0,0,1:6:1:6:1:5
./autobattle/genmap372.tbsmap,0,1,0,2:1:3:4:2:4
./autobattle/genmap373.tbsmap,0,1,0,4:5:2:2:1:2
./autobattle/genmap374.tbsmap,1,0,0,4:5:4:5:3:5
./autobattle/genmap375.tbsmap,1,0,0,6:1:6:2:6:3
./autobattle/genmap376.tbsmap,1,0,0,3:5:5:4:6:4
./autobattle/genmap377.tbsmap,0,0,1,1:3:5:5:5:6
./autobattle/genmap378.tbsmap,0,0,1,1:3:3:2:4:2
./autobattle/genmap379.tbsmap,0,0,1,5:4:3:1:2:1
./autobattle/genmap38.tbsmap,1,0,0,6:4:4:3:5:3
./autobattle/genmap380.tbsmap,0,1,0,6:6:1:4:1:3
./autobattle/genmap381.tbsmap,1,0,0,4:3:2:4:1:4
./autobattle/genmap382.tbsmap,1,0,0,6:1:6:4:5:4
./autobattle/genmap383.tbsmap,1,0,0,4:3:2:6:1:6
./autobattle/genmap384.tbsmap,1,0,0,4:4:2:2:1:2
./autobattle/genmap385.tbsmap,1,0,0,1:1:6:2:5:2
./autobattle/genmap386.tbsmap,1,0,0,4:6:3:4:4:4
./autobattle/genmap387.tbsmap,0,1,0,6:2:3:1:3:2
./autobattle/genmap388.tbsmap,1,0,0,4:3:6:1:5:1
./autobattle/genmap389.tbsmap,1,0,0,2:3:5:2:6:2
./autobattle/genmap39.tbsmap,1,0,0,4:4:2:6:1:6
./autobattle/genmap390.tbsmap,1,0,0,5:3:5:2:4:2
./autobattle/genmap391.tbsmap,0,1,0,5:3:4:2:4:1
./autobattle/genmap392.tbsmap,1,0,0,4:5:2:5:1:5
./autobattle/genmap393.tbsmap,1,0,0,1:3:6:5:6:6
./autobattle/genmap394.tbsmap,1,0,0,1:4:1:4:2:4
./autobattle/genmap395.tbsmap,1,0,0,1:6:5:3:4:3
./autobattle/genmap396.tbsmap,1,0,0,1:1:4:4:4:5
./autobattle/genmap397.tbsmap,1,0,0,3:1:5:1:6:1
./autobattle/genmap398.tbsmap,0,1,0,5:2:6:1:6:2
./autobattle/genmap399.tbsmap,0,0,1,2:6:1:4:2:4
./autobattle/genmap4.tbsmap,1,0,0,5:4:1:5:1:4
./autobattle/genmap40.tbsmap,1,0,0,1:1:4:2:4:1
./autobattle/genmap400.tbsmap,1,0,0,4:4:6:4:6:5
./autobattle/genmap401.tbsmap,1,0,0,2:4:3:1:4:1
./autobattle/genmap402.tbsmap,0,0,1,1:6:2:3:3:3
./autobattle/genmap403.tbsmap,0,1,0,4:6:2:3:2:2
./autobattle/genmap404.tbsmap,1,0,0,4:2:4:6:5:6
./autobattle/genmap405.tbsmap,0,0,1,1:6:1:4:1:3
./autobattle/genmap406.tbsmap,1,0,0,2:3:3:2:2:2
./autobattle/genmap407.tbsmap,0,1,0,4:2:2:1:1:1
./autobattle/genmap408.tbsmap,1,0,0,3:1:3:3:2:3
./autobattle/genmap409.tbsmap,1,0,0,3:1:3:5:4:5
./autobattle/genmap41.tbsmap,1,0,0,6:6:4:6:3:6
./autobattle/genmap410.tbsmap,1,0,0,2:1:4:2:3:2
./autobattle/genmap411.tbsmap,1,0,0,6:2:5:2:4:2
./autobattle/genmap412.tbsmap,1,0,0,4:3:4:4:3:4
./autobattle/genmap413.tbsmap,1,0,0,2:1:3:5:2:5
./autobattle/genmap414.tbsmap,0,1,0,5:4:6:2:6:1
./autobattle/genmap415.tbsmap,1,0,0,6:4:3:6:2:6
./autobattle/genmap416.tbsmap,0,1,0,4:5:2:5:1:5
./autobattle/genmap417.tbsmap,1,0,0,6:3:3:5:3:6
./autobattle/genmap418.tbsmap,1,0,0,6:2:1:1:1:2
./autobattle/genmap419.tbsmap,1,0,0,1:3:1:3:1:2
./autobattle/genmap42.tbsmap,1,0,0,5:4:2:3:1:3
./autobattle/genmap420.tbsmap,1,0,0,6:2:6:1:5:1
./autobattle/genmap421.tbsmap,1,0,0,4:2:6:3:5:3
./autobattle/genmap422.tbsmap,1,0,0,2:2:5:1:6:1
./autobattle/genmap423.tbsmap,1,0,0,2:2:4:3:3:3
./autobattle/genmap424.tbsmap,0,1,0,1:3:2:6:1:6
./autobattle/genmap425.tbsmap,1,0,0,1:1:1:1:1:2
./autobattle/genmap426.tbsmap,0,1,0,3:6:6:5:6:6
./autobattle/genmap427.tbsmap,0,1,0,3:2:3:3:2:3
./autobattle/genmap428.tbsmap,0,1,0,6:4:6:2:5:2
./autobattle/genmap429.tbsmap,1,0,0,1:2:2:2:2:3
./autobattle/genmap43.tbsmap,1,0,0,6:6:6:1:5:1
./autobattle/genmap430.tbsmap,1,0,0,4:5:5:4:5:3
./autobattle/genmap431.tbsmap,0,1,0,4:2:2:6:2:5
./autobattle/genmap432.tbsmap,1,0,0,2:3:5:2:5:1
./autobattle/genmap433.tbsmap,1,0,0,2:4:4:2:3:2
./autobattle/genmap434.tbsmap,0,1,0,1:3:2:4:3:4
./autobattle/genmap435.tbsmap,1,0,0,4:4:6:4:6:5
./autobattle/genmap436.tbsmap,1,0,0,1:5:3:5:3:6
./autobattle/genmap437.tbsmap,1,0,0,2:1:2:4:3:4
./autobattle/genmap438.tbsmap,0,1,0,4:4:4:5:3:5
./autobattle/genmap439.tbsmap,1,0,0,4:2:5:2:5:3
./autobattle/genmap44.tbsmap,1,0,0,5:6:2:2:1:2
./autobattle/genmap440.tbsmap,1,0,0,2:5:2:1:3:1
./autobattle/genmap441.tbsmap,1,0,0,1:6:3:2:4:2
./autobattle/genmap442.tbsmap,1,0,0,1:5:3:1:2:1
./autobattle/genmap443.tbsmap,1,0,0,1:4:3:3:3:2
./autobattle/genmap444.tbsmap,1,0,0,1:2:2:4:3:4
./autobattle/genmap445.tbsmap,1,0,0,3:4:4:2:3:2
./autobattle/genmap446.tbsmap,1,0,0,4:6:4:3:5:3
./autobattle/genmap447.tbsmap,1,0,0,3:3:4:1:3:1
./autobattle/genmap448.tbsmap,1,0,0,3:4:3:6:2:6
./autobattle/genmap449.tbsmap,0,1,0,5:1:4:3:4:4
./autobattle/genmap45.tbsmap,1,0,0,4:2:2:4:3:4
./autobattle/genmap450.tbsmap,1,0,0,3:6:5:3:6:3
./autobattle/genmap451.tbsmap,0,1,0,2:6:3:5:2:5
./autobattle/genmap452.tbsmap,0,1,0,2:1:2:1:3:1
./autobattle/genmap453.tbsmap,0,1,0,1:4:1:2:2:2
